feature,mean,std
h bond acceptor count,5.16358595194085,3.900406618027335
h bond donor count,2.6788354898336415,2.45587887285003
rotatable bond count,5.729667282809612,5.735536004556775
number of rings,2.3904805914972274,1.6684286433219342
physiological charge,-0.22735674676524953,1.2497138795224518
molecular weight,346.66350762476895,188.1847959108082
refractivity,89.70309611829944,47.07077013142664
monoisotopic weight,346.32741323776946,187.9879597412433
polar surface area (psa),99.84519870609982,75.92035021458844
