feature,mean,std
h bond acceptor count,5.264547896150403,3.9599796098268123
h bond donor count,2.7797672336615937,2.8578539011414437
rotatable bond count,5.723366159355416,5.565432958489559
number of rings,2.431512981199642,1.725447881668028
physiological charge,-0.21128021486123547,1.2012599257151622
molecular weight,351.77124498657116,197.21202460630715
refractivity,91.09672336615937,51.16157908684669
monoisotopic weight,351.43302467165176,197.05710755861793
polar surface area (psa),102.5510564010743,82.74243172598715
