feature,mean,std
h bond acceptor count,5.180893074119076,3.975726829178886
h bond donor count,2.705498177399757,2.7461312177394235
rotatable bond count,5.676944106925881,5.8826678961245715
number of rings,2.4438031591737546,1.691953918257245
physiological charge,-0.20914337788578372,1.201106480650168
molecular weight,350.32249586877276,201.95577579812996
refractivity,90.78286907654922,50.88165915312277
monoisotopic weight,349.9870210966171,201.795307908361
polar surface area (psa),100.74910692588091,82.46788862308391
