SMILES,SMILES_rdkit_final,logP,fu_in_vitro,REF_logP,REF_Fup
CC(C)CCn1c(CN2C(=O)C3(CC3)c3ccc(F)cc32)nc2cc(CN)ccc21,CC(C)CCn1c(CN2C(=O)C3(CC3)c3ccc(F)cc32)nc2cc(CN)ccc21,4.26,0.184,CHEMBL,CHEMBL
CC(C)CCn1c(CN2C(=O)C3(CC3)c3cccc(F)c32)nc2cc(CN)ccc21,CC(C)CCn1c(CN2C(=O)C3(CC3)c3cccc(F)c32)nc2cc(CN)ccc21,4.26,0.42,CHEMBL,CHEMBL
CC(C)CCn1c(CN2C(=O)C3(CC3)c3ccccc32)nc2cc(CN)ccc21,CC(C)CCn1c(CN2C(=O)C3(CC3)c3ccccc32)nc2cc(CN)ccc21,4.12,0.07,CHEMBL,CHEMBL
CC(C)CCn1c(CN2C(=O)C3(CCCC3)c3ccncc32)nc2cc(CN)ccc21,CC(C)CCn1c(CN2C(=O)C3(CCCC3)c3ccncc32)nc2cc(CN)ccc21,4.29,0.17,CHEMBL,CHEMBL
CC(C)CCn1c(Cn2c(=O)n(C3CC3)c3ccncc32)cc2ccccc21,CC(C)CCn1c(Cn2c(=O)n(C3CC3)c3ccncc32)cc2ccccc21,4.58,0.006,CHEMBL,CHEMBL
CC(C)CN(CC(O)C(CC1=CC=CC=C1)NC(=O)OC1COC2OCCC12)S(=O)(=O)C1=CC=C(N)C=C1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,2.53,0.05,HTTK,HTTK
CC(C)CN(Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)S(=O)(=O)Cc1ccccc1,CC(C)CN(Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)S(=O)(=O)Cc1ccccc1,4.75,0.01,CHEMBL,CHEMBL
CC(CN=C([C@@H]1C[C@](C1)(F)c1ccc(c(c1)F)CN1CCCC1)O)C,CC(C)CN=C(O)C1CC(F)(c2ccc(CN3CCCC3)c(F)c2)C1,3.77,0.34,,Watanabe
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N(C)C)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N(C)C)c(Cc3ccccc3C(F)(F)F)sc21,3.73,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC(C)(O)C3)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC(C)(O)C3)c(Cc3ccccc3C(F)(F)F)sc21,3.23,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3c[nH]c4ccccc34)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCC(O)C3)c(Cc3c[nH]c4ccccc34)sc21,2.7,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCC(O)C3)c(Cc3ccccc3C(F)(F)F)sc21,3.23,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Oc3cccc4ccccc34)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCC(O)C3)c(Oc3cccc4ccccc34)sc21,3.57,0.01,CHEMBL,CHEMBL
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCC3)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCC3)c(Cc3ccccc3C(F)(F)F)sc21,3.87,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCCC3)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCCC3)c(Cc3ccccc3C(F)(F)F)sc21,4.26,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(S(=O)(=O)[C@@H]3CC[C@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(S(=O)(=O)C3CCC(O)C3)c(Cc3ccccc3C(F)(F)F)sc21,3.71,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(S(=O)(=O)N3CC[C@@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(S(=O)(=O)N3CCC(O)C3)c(Cc3ccccc3C(F)(F)F)sc21,2.78,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(SC(C)C)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(SC(C)C)c(Cc3ccccc3C(F)(F)F)sc21,5.53,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(S[C@H]3C[C@H](O)[C@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CC(O)C(O)C3)c(Cc3ccccc3C(F)(F)F)sc21,4,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCC3)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCC3)c(Cc3ccccc3C(F)(F)F)sc21,5.67,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCCC3)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCCC3)c(Cc3ccccc3C(F)(F)F)sc21,6.06,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(S[C@@H]3CCC[C@H]3O)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCCC3O)c(Cc3ccccc3C(F)(F)F)sc21,5.03,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCCCC3)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCCCC3)c(Cc3ccccc3C(F)(F)F)sc21,6.45,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(SCC(O)CO)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(SCC(O)CO)c(Cc3ccccc3C(F)(F)F)sc21,3.47,,CHEMBL,
CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)c(Cc3cccc4ccccc34)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)c(Cc3cccc4ccccc34)sc21,4.64,0.001,CHEMBL,CHEMBL
CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)c(Cc3ccccc3C(F)(F)F)sc21,CC(C)Cn1c(=O)n(C)c(=O)c2c(SCCCO)c(Cc3ccccc3C(F)(F)F)sc21,4.5,,CHEMBL,
CC(C)CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(/C=C/C(=O)O)cc1,CC(C)CN1C(C)Cc2c([nH]c3ccccc23)C1c1ccc(C=CC(=O)O)cc1,5.26,0.0051,CHEMBL,CHEMBL
CC(C)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc3[nH]ncc3c2C[C@H]1C,CC(C)CN1C(C)Cc2c(ccc3[nH]ncc23)C1c1c(F)cc(C=CC(=O)O)cc1F,4.93,0.0048,CHEMBL,CHEMBL
CC(C)CN1[C@H](c2c(F)cc(OCCN3CC(CF)C3)cc2F)c2ccc3[nH]ncc3c2C[C@H]1C,CC(C)CN1C(C)Cc2c(ccc3[nH]ncc23)C1c1c(F)cc(OCCN2CC(CF)C2)cc1F,5.11,0.004,CHEMBL,CHEMBL
CC(C)CN1[C@H](C)Cc2c(ccc3[nH]ncc23)[C@H]1c1ccc(/C=C/C(=O)O)cc1,CC(C)CN1C(C)Cc2c(ccc3[nH]ncc23)C1c1ccc(C=CC(=O)O)cc1,4.65,0.022,CHEMBL,CHEMBL
CC(C)CN1[C@H](C)Cc2c(ccc3[nH]ncc23)[C@H]1c1ccc(OCCN2CC(CF)C2)cc1,CC(C)CN1C(C)Cc2c(ccc3[nH]ncc23)C1c1ccc(OCCN2CC(CF)C2)cc1,4.84,0.11,CHEMBL,CHEMBL
CC(C)CN1[C@H](c2ccc(OCCN3CC(CF)C3)cn2)c2ccc3[nH]ncc3c2C[C@H]1C,CC(C)CN1C(C)Cc2c(ccc3[nH]ncc23)C1c1ccc(OCCN2CC(CF)C2)cn1,4.23,0.19,CHEMBL,CHEMBL
CC(C)CN1[C@H](C)Cc2cc(O)ccc2[C@@]1(C)c1ccc(/C=C/C(=O)O)cc1,CC(C)CN1C(C)Cc2cc(O)ccc2C1(C)c1ccc(C=CC(=O)O)cc1,4.66,0.015,CHEMBL,CHEMBL
CC(C)CN1[C@H](C)Cc2cc(O)ccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,CC(C)CN1C(C)Cc2cc(O)ccc2C1c1ccc(C=CC(=O)O)cc1,4.48,0.07,CHEMBL,CHEMBL
CC(C)CN1[C@H](C)Cc2ccccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,CC(C)CN1C(C)Cc2ccccc2C1c1ccc(C=CC(=O)O)cc1,4.78,0.021,CHEMBL,CHEMBL
CC(C)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2CC1(C)C,CC(C)CN1C(c2c(F)cc(C=CC(=O)O)cc2F)c2ccc(O)cc2CC1(C)C,5.15,0.005,CHEMBL,CHEMBL
CC(C)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C,CC(C)CN1C(c2ccc(C=CC(=O)O)cc2)c2ccc(O)cc2CC1(C)C,4.87,0.035,CHEMBL,CHEMBL
CC(C)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc3[nH]ncc3c2CC1(C)C,CC(C)CN1C(c2ccc(C=CC(=O)O)cc2)c2ccc3[nH]ncc3c2CC1(C)C,5.04,0.036,CHEMBL,CHEMBL
CC(C)Cn1cc(C#N)c2cc(Oc3ccc(NC(=O)[C@@H]4CCCN4)cc3)ccc21,CC(C)Cn1cc(C#N)c2cc(Oc3ccc(NC(=O)C4CCCN4)cc3)ccc21,4.65,0.0033,CHEMBL,CHEMBL
CC(C)Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCCC4O)cc2)cn1,CC(C)Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCCC4O)cc2)cn1,3.48,0.051,CHEMBL,CHEMBL
CC(C)CN1CCC([S+]([O-])c2ccc(CNC(=O)c3cc4ccncc4o3)cc2)CC1,CC(C)CN1CCC([S+]([O-])c2ccc(CNC(=O)c3cc4ccncc4o3)cc2)CC1,3.99,0.2,CHEMBL,CHEMBL
CC(C)CN1CCc2c(ccc3[nH]ccc23)C1c1ccc(/C=C/C(=O)O)cc1,CC(C)CN1CCc2c(ccc3[nH]ccc23)C1c1ccc(C=CC(=O)O)cc1,4.87,0.033,CHEMBL,CHEMBL
CC(C)CN1CCc2c(ccc3[nH]ncc23)[C@H]1c1ccc(/C=C/C(=O)O)cc1,CC(C)CN1CCc2c(ccc3[nH]ncc23)C1c1ccc(C=CC(=O)O)cc1,4.26,0.07,CHEMBL,CHEMBL
CC(C)CN1CCc2cc(O)ccc2[C@@]1(C)c1ccc(/C=C/C(=O)O)cc1,CC(C)CN1CCc2cc(O)ccc2C1(C)c1ccc(C=CC(=O)O)cc1,4.27,0.009,CHEMBL,CHEMBL
CC(C)CN1CCc2cccc3[nH]cc(c23)C1c1ccc(/C=C/C(=O)O)cc1,CC(C)CN1CCc2cccc3[nH]cc(c23)C1c1ccc(C=CC(=O)O)cc1,4.87,0.11,CHEMBL,CHEMBL
CC(C)CNCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1,CC(C)CNCc1c(C(=O)NC2CCCC(O)C2)noc1-c1ccc(C(F)(F)F)cc1,4.14,0.177,CHEMBL,CHEMBL
CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1,CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1,3.64,0.024,CHEMBL,CHEMBL
CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)c(F)cc23)cn1,CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)c(F)cc23)cn1,3.1,0.008,CHEMBL,CHEMBL
CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)c(F)cc23)cc1Cl,CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)c(F)cc23)cc1Cl,3.76,0.001,CHEMBL,CHEMBL
CC(C)CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncc3c(N4CCOCC4)n[nH]c3n2)CC1,CC(C)CS(=O)(=O)NC1CCC(Nc2ncc3c(N4CCOCC4)n[nH]c3n2)CC1,1.49,0.33,CHEMBL,CHEMBL
CC(C)N(C)c1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#CC(C)(C)C)[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]23)cc1,CC(C)N(C)c1ccc(C2CC3(C)C(CCC3(O)C#CC(C)(C)C)C3CCC4=CC(=O)CCC4C23)cc1,7.15,0.14,CHEMBL,CHEMBL
CC(C)N(C)Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,CC(C)N(C)Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,4.81,0.001,CHEMBL,CHEMBL
CC(C)N(Cc1ccccc1)C(=O)c1ccc2ccccc2c1,CC(C)N(Cc1ccccc1)C(=O)c1ccc2ccccc2c1,4.89,0.043,CHEMBL,CHEMBL
CC(C)N(Cc1ccccc1)c1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,CC(C)N(Cc1ccccc1)c1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5.72,0.057,CHEMBL,CHEMBL
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,2.58,0.16,HTTK,HTTK
CC(C)N(CCC(O)c1ccc2ccccc2c1)Cc1ccccc1,CC(C)N(CCC(O)c1ccc2ccccc2c1)Cc1ccccc1,5.17,0.1,CHEMBL,CHEMBL
Fc1cc(F)cc(c1)C(=Nc1nc2c(n1[C@@H]1CC[C@@H](CC1)C(=NC(C)C)O)cc(cc2)CN1CCC(CC1)C(O)(C)C)O,CC(C)N=C(O)C1CCC(n2c(N=C(O)c3cc(F)cc(F)c3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,,0.037,,Watanabe
Fc1ccc(cc1)C(=O)Nc1nc2c(n1[C@@H]1CC[C@@H](CC1)C(=NC(C)C)O)cc(cc2)CN1CCC(CC1)C(O)(C)C,CC(C)N=C(O)C1CCC(n2c(NC(=O)c3ccc(F)cc3)nc3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,,0.053,,Watanabe
CC(C)N1CC(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c3ncccc23)CC1=O,CC(C)N1CC(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c3ncccc23)CC1=O,3.13,0.022,CHEMBL,CHEMBL
CC(C)n1cc(S(=O)(=O)c2ccc(CNC(=O)c3cc4ccncc4o3)nc2)cn1,CC(C)n1cc(S(=O)(=O)c2ccc(CNC(=O)c3cc4ccncc4o3)nc2)cn1,2.76,0.12,CHEMBL,CHEMBL
CC(C)N1Cc2cc(C(F)(F)F)ncc2C2=CN=C(NCc3c(F)ccc4c3CCO4)N3C=NC(C1=O)C23,CC(C)N1Cc2cc(C(F)(F)F)ncc2C2=CN=C(NCc3c(F)ccc4c3CCO4)N3C=NC(C1=O)C23,3.51,0.02,CHEMBL,CHEMBL
CC(C)N1CCC(CC1)N(C(=O)CC1=CC=CC=C1)C1=CC=C(Cl)C=C1,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,4.85,0.15,HTTK,HTTK
CC(C)N1CC[C@H](NC(=O)c2cc(-c3ccc(F)cc3F)on2)[C@@H](C(=O)NC2(c3ncccn3)CC2)C1,CC(C)N1CCC(NC(=O)c2cc(-c3ccc(F)cc3F)on2)C(C(=O)NC2(c3ncccn3)CC2)C1,3.04,0.269,CHEMBL,CHEMBL
CC(C)N1CCC[C@H]1CNC(=O)c1cn(C2CCCC2)c(=O)c2c1c1ccccc1n2C,CC(C)N1CCCC1CNC(=O)c1cn(C2CCCC2)c(=O)c2c1c1ccccc1n2C,4.21,0.146,CHEMBL,CHEMBL
CC(C)N1CCN(C(=O)C2CC23CCN(C2CCOCC2)CC3)CC1,CC(C)N1CCN(C(=O)C2CC23CCN(C2CCOCC2)CC3)CC1,1.82,0.87,CHEMBL,CHEMBL
CC(C)N1CCN(C(=O)c2ccc(CN3CCOCC3)cc2)CC1.O=C(O)/C=C\C(=O)O,CC(C)N1CCN(C(=O)c2ccc(CN3CCOCC3)cc2)CC1.O=C(O)C=CC(=O)O,1.68,0.876,CHEMBL,CHEMBL
CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2F)n1,CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2F)n1,3.31,0.223,CHEMBL,CHEMBL
CC(C)n1cnnc1-c1cccc(NC(=O)c2cnn(C)c2)n1,CC(C)n1cnnc1-c1cccc(NC(=O)c2cnn(C)c2)n1,1.91,70,CHEMBL,CHEMBL
CC(C)n1nc(-c2cnc(N)c(OC(F)(F)F)c2)cc1[C@@H]1[C@H]2CN(C3COC3)C[C@H]21,CC(C)n1nc(-c2cnc(N)c(OC(F)(F)F)c2)cc1C1C2CN(C3COC3)CC21,3.05,0.16,CHEMBL,CHEMBL
CC(C)n1nc(-c2cnc(N)nc2-c2ccccc2)ccc1=O,CC(C)n1nc(-c2cnc(N)nc2-c2ccccc2)ccc1=O,2.53,0.228,CHEMBL,CHEMBL
CC(C)n1nc2c(c1-c1ccc(F)cc1)CCNCC2,CC(C)n1nc2c(c1-c1ccc(F)cc1)CCNCC2,2.96,0.3,CHEMBL,CHEMBL
CC(C)n1ncc(C(=O)N[C@@H](Cc2ccc(OC(F)(F)F)c(Cl)c2)C(=O)NC2(C#N)CC2)n1,CC(C)n1ncc(C(=O)NC(Cc2ccc(OC(F)(F)F)c(Cl)c2)C(=O)NC2(C#N)CC2)n1,2.92,0.0826,CHEMBL,CHEMBL
CC(C)NC(=O)c1cc(-c2ccc(NC(=O)[C@H](O)c3cc(F)cc(F)c3)cc2Cl)cnc1N,CC(C)NC(=O)c1cc(-c2ccc(NC(=O)C(O)c3cc(F)cc(F)c3)cc2Cl)cnc1N,4.07,0.003,CHEMBL,CHEMBL
CC(C)NC(=O)c1cc(F)ccc1CNC(=O)c1nc(C(C)(C)C)n(C)c(=O)c1O,CC(C)NC(=O)c1cc(F)ccc1CNC(=O)c1nc(C(C)(C)C)n(C)c(=O)c1O,1.99,0.01,CHEMBL,CHEMBL
CC(C)NC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)c3cc(F)cc(F)c3)[nH]c3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,CC(C)NC(=O)C1CCC(n2c(=NC(=O)c3cc(F)cc(F)c3)[nH]c3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,5.23,0.037,CHEMBL,CHEMBL
CC(C)NC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)c3ccc(F)cc3)[nH]c3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,CC(C)NC(=O)C1CCC(n2c(=NC(=O)c3ccc(F)cc3)[nH]c3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,5.09,0.053,CHEMBL,CHEMBL
CC(C)Nc1c[nH]nc1-c1nc(-c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)no1,CC(C)Nc1c[nH]nc1-c1nc(-c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)no1,5.76,0.084,CHEMBL,CHEMBL
CC(C)Nc1nccc(-c2cnn3ncccc23)n1,CC(C)Nc1nccc(-c2cnn3ncccc23)n1,2.01,0.15,CHEMBL,CHEMBL
CC(C)NCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1,CC(C)NCc1c(C(=O)NC2CCCC(O)C2)noc1-c1ccc(C(F)(F)F)cc1,3.89,0.25,CHEMBL,CHEMBL
O[C@H]1CCC[C@H](C1)N=C(c1noc(c1CNC(C)C)c1ccc(cc1)C(F)(F)F)O,CC(C)NCc1c(C(O)=NC2CCCC(O)C2)noc1-c1ccc(C(F)(F)F)cc1,,0.5,,Watanabe
CC(C)OC(=O)C(C)(C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](Cl)(Br)[C@@H]1O)Oc1ccccc1,CC(C)OC(=O)C(C)(C)NP(=O)(OCC1OC(n2ccc(=O)[nH]c2=O)C(Cl)(Br)C1O)Oc1ccccc1,2.65,0.193,CHEMBL,CHEMBL
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,4.94,0.00815,HTTK,HTTK
CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,CC(C)OC(=O)C(C)NP(=O)(OCC1OC(n2ccc(=O)[nH]c2=O)C(C)(F)C1O)Oc1ccccc1,1.66,0.297666667,CHEMBL,CHEMBL
CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](Cl)(Br)[C@@H]1O)Oc1ccccc1,CC(C)OC(=O)C(C)NP(=O)(OCC1OC(n2ccc(=O)[nH]c2=O)C(Cl)(Br)C1O)Oc1ccccc1,2.26,0.113,CHEMBL,CHEMBL
CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@](F)(Br)[C@@H]1O)Oc1ccccc1,CC(C)OC(=O)C(C)NP(=O)(OCC1OC(n2ccc(=O)[nH]c2=O)C(F)(Br)C1O)Oc1ccccc1,1.99,0.43,CHEMBL,CHEMBL
CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCC1=CC=CC=C1,CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1,4.36,0.1,HTTK,HTTK
CC(C)OC(=O)N1CCN(c2ccc(NC(=O)c3oc(N4CCCCC4)nc3C(F)(F)F)cn2)CC1,CC(C)OC(=O)N1CCN(c2ccc(NC(=O)c3oc(N4CCCCC4)nc3C(F)(F)F)cn2)CC1,4,,CHEMBL,
CC(C)Oc1cc(-c2cn3c(-c4ccc5[nH]ncc5c4F)c(C(F)(F)F)nc3cn2)ccc1F,CC(C)Oc1cc(-c2cn3c(-c4ccc5[nH]ncc5c4F)c(C(F)(F)F)nc3cn2)ccc1F,6.02,0.0008,CHEMBL,CHEMBL
CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](C)c4ccc(F)cn4)nc32)n[nH]1,CC(C)Oc1cc(-n2cnc3ccc(NC(C)c4ccc(F)cn4)nc32)n[nH]1,3.64,0.06,CHEMBL,CHEMBL
CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](CO)c4ccc(F)cn4)nc32)n[nH]1,CC(C)Oc1cc(-n2cnc3ccc(NC(CO)c4ccc(F)cn4)nc32)n[nH]1,2.61,0.081,CHEMBL,CHEMBL
CC(C)Oc1cc(-n2cnc3cnc(N[C@@H](C)c4ncc(F)cn4)nc32)n[nH]1,CC(C)Oc1cc(-n2cnc3cnc(NC(C)c4ncc(F)cn4)nc32)n[nH]1,2.43,0.31,CHEMBL,CHEMBL
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)ncc2Cl)n[nH]1,CC(C)Oc1cc(Nc2nc(NC(C)c3ccc(F)cn3)ncc2Cl)n[nH]1,4.09,0.069,CHEMBL,CHEMBL
CC(C)Oc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c2ccc(F)cn2)n[nH]1,CC(C)Oc1cc(Nc2nc3c(cc2F)ncn3C(CO)c2ccc(F)cn2)n[nH]1,2.94,0.058,CHEMBL,CHEMBL
CN1CCN(CC1)c1cc2c(cc1OC(C)C)[nH]cc(c2=Nc1ccc(cc1F)F)C(=N)O,CC(C)Oc1cc2[nH]cc(C(=N)O)c(=Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1,3.89,0.017,,Watanabe
CC(C)Oc1cc2c(OC[C@@H]3CCC(=O)N3)nccc2cc1C(N)=O,CC(C)Oc1cc2c(OCC3CCC(=O)N3)nccc2cc1C(N)=O,1.78,0.29,CHEMBL,CHEMBL
CC(C)Oc1ccc(NC(=O)c2cc(N(C)Cc3ccc(F)cc3)ncn2)cc1,CC(C)Oc1ccc(NC(=O)c2cc(N(C)Cc3ccc(F)cc3)ncn2)cc1,4.29,0.0004,CHEMBL,CHEMBL
CC(C)OCC1(C(=O)c2ccc(N)c(Cl)c2)CCCN1,CC(C)OCC1(C(=O)c2ccc(N)c(Cl)c2)CCCN1,2.65,0.39,CHEMBL,CHEMBL
CC(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,CC(C)S(=O)(=O)CC(C1CC1)N1C(=O)C(C)(CC(=O)O)CC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,6.13,,CHEMBL,
CC(C)S(=O)(=O)C[C@H](C1CCC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,CC(C)S(=O)(=O)CC(C1CCC1)N1C(=O)C(C)(CC(=O)O)CC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,6.52,,CHEMBL,
CC(C)S(=O)(=O)C[C@@H](N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1)C(C)(C)C,CC(C)S(=O)(=O)CC(N1C(=O)C(C)(CC(=O)O)CC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1)C(C)(C)C,6.77,,CHEMBL,
CC(C)S(=O)(=O)N[C@H]1Cc2ccc(-c3ccc(F)nc3)cc2C1,CC(C)S(=O)(=O)NC1Cc2ccc(-c3ccc(F)nc3)cc2C1,2.68,0.092,CHEMBL,CHEMBL
Clc1ccc2c(c1)ccn2CC(=N[C@@H]1CC[C@H](CC1)CNS(=O)(=O)C(C)C)O,CC(C)S(=O)(=O)NCC1CCC(N=C(O)Cn2ccc3cc(Cl)ccc32)CC1,3.3,0.004,,Watanabe
