SMILES,SMILES_rdkit_final,logP,fu_in_vitro,REF_logP,REF_Fup
[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1,[H]C([H])(O)C1(C([H])([H])OC2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1,5.4,0.008,CHEMBL,CHEMBL
[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3ccc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cc2)CC1,[H]C([H])(O)C1(C([H])([H])OC2(c3ccc(Cl)cc3)c3ccc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cc2)CC1,5.87,0.003,CHEMBL,CHEMBL
[2H]C([2H])(Oc1cc(F)cc(F)c1C([2H])([2H])C([2H])([2H])[2H])C(=O)N(Cc1nnc(N)o1)Cc1ccc(S(N)(=O)=O)cc1F,[H]C([H])(Oc1cc(F)cc(F)c1C([H])([H])C([H])([H])[H])C(=O)N(Cc1nnc(N)o1)Cc1ccc(S(N)(=O)=O)cc1F,1.89,0.06,CHEMBL,CHEMBL
[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,[H]C(c1nc[nH]c1C(C)(C)C)=c1[nH]c(=O)c(=Cc2ccccc2)[nH]c1=O,0.74,0.021,CHEMBL,CHEMBL
[N-]=[N+]=N[C@H]1[C@@H](CF)O[C@@H](n2cnc3c(N)nc(OC4CCCC4)nc32)[C@@H]1O,[N-]=[N+]=NC1C(CF)OC(n2cnc3c(N)nc(OC4CCCC4)nc32)C1O,1.64,0.19,CHEMBL,CHEMBL
[O-][S+](Cc1ccccc1)c1ccccc1O,[O-][S+](Cc1ccccc1)c1ccccc1O,2.7,0.12,CHEMBL,CHEMBL
CC1CC2=C(CCC(=O)C2)C2CCC3(C)C(CCC3(O)C#C)C12,C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C,3.07,0.04,HTTK,
CCC12CC(=C)C3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,3.16,0.02,HTTK,HTTK
CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,2.97,0.0516,HTTK,HTTK
CCC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,3.07,0.0369,HTTK,HTTK
CCC12CC(=C)C3C(CCC4=CCCCC34)C1CCC2(O)C#C,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,5.02,0.03,HTTK,
CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2(O)C#C,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.67,0.014,HTTK,HTTK
C#Cc1c[nH]nc1-c1nc(-c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)no1,C#Cc1c[nH]nc1-c1nc(-c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)no1,4.92,0.036,CHEMBL,CHEMBL
C#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(C(=O)O)c2)cc1,C#Cc1ccc(C=Cc2nc3ccccc3c(=O)n2-c2cccc(C(=O)O)c2)cc1,4.24,0.004,CHEMBL,CHEMBL
C#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(S(N)(=O)=O)c2)cc1,C#Cc1ccc(C=Cc2nc3ccccc3c(=O)n2-c2cccc(S(N)(=O)=O)c2)cc1,3.18,0.018,CHEMBL,CHEMBL
COCCOC1=CC2=NC=NC(NC3=CC=CC(=C3)C#C)=C2C=C1OCCOC,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,2.92,0.07,HTTK,HTTK
C#Cc1cnc2nc(O)n(C(CC)CC)c2n1,C#Cc1cnc2nc(O)n(C(CC)CC)c2n1,1.87,0.019,CHEMBL,CHEMBL
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC#C)N2C=CC=C(C2=O)NC(=O)C3=NOC(=C3)C,C#CCC(C(=O)NC(C=CC(=O)OCC)CC1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,,0.87,,Watanabe
CCOC(=O)/C=C/[C@H](C[C@@H]1CCN=C1O)N=C([C@@H](n1cccc(c1=O)NC(=O)c1noc(c1)C)CC#C)O,C#CCC(C(O)=NC(C=CC(=O)OCC)CC1CCN=C1O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.09,0.66,,Watanabe
C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4.97,0.0007,CHEMBL,CHEMBL
C#CCN(C)[C@H](C[18F])Cc1ccccc1,C#CCN(C)C(CF)Cc1ccccc1,2.13,0.168,CHEMBL,CHEMBL
C#CCOc1ccc2cc(-c3nn(C(C)(C)C)c(N)c3C(N)=O)ccc2c1,C#CCOc1ccc2cc(-c3nn(C(C)(C)C)c(N)c3C(N)=O)ccc2c1,3.15,0.01,CHEMBL,CHEMBL
C#CCO[C@H]1CN(c2ncc(C(=O)O)s2)CC[C@H]1NC(=O)c1[nH]c(C)c(Cl)c1Cl,C#CCOC1CN(c2ncc(C(=O)O)s2)CCC1NC(=O)c1[nH]c(C)c(Cl)c1Cl,2.81,0.03,CHEMBL,CHEMBL
C(#Cc1cccc(CN2CCOCC2)c1)CCN1CCCCC1,C(#Cc1cccc(CN2CCOCC2)c1)CCN1CCCCC1,2.75,0.55,CHEMBL,CHEMBL
C(#Cc1ncn2c1COc1ccccc1-2)c1ccccc1,C(#Cc1ncn2c1COc1ccccc1-2)c1ccccc1,3.16,0.003,CHEMBL,CHEMBL
C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,4.18,0.2,CHEMBL,CHEMBL
C[N+]1(C)[C@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21.O.[Br-],C[N+]1(C)C2CC(OC(=O)C(O)(c3cccs3)c3cccs3)CC1C1OC12.O.[Br-],2.35,0.52,CHEMBL,CHEMBL
C[N+]1(C)CCC(OC(=O)C2(c3ccccc3)CCCCCC2)CC1,C[N+]1(C)CCC(OC(=O)C2(c3ccccc3)CCCCCC2)CC1,4.06,0.27,CHEMBL,CHEMBL
