SMILES,logP,permeability
CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O,-0.31,
C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,0.07,
C1=CC2=C(C=C1Cl)NC(=O)O2,1.6,
C1=CN(C(=O)N=C1N)C[C@@H](CO)OCP(=O)(O)O,-2.11,
C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,2.97,
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,1.57,
N.N.Cl[Pt]Cl,0.04,
CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,1.8,
CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl  ,0.65,
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl ,4.52,
CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42  ,3.39,
CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC ,2.34,
C[C@H]([C@H]1C(=O)NCC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCNCS(=O)(=O)[O-])CCNCS(=O)(=O)[O-])CC(C)C)CC(C)C)CCNCS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)CCCCC(C)C)O.[Na+].[Na+].[Na+].[Na+].[Na+]  ,-10.3,
CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,-8.06,
COC1=CC2=C(C=C1OC)[C@H]1[C@@H](C)C3=C(CN1CC2)C(OC)=C(OC)C=C3,3.14,
CC[C@@H]1NC(=O)[C@@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@@H](C(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,3.38,
C[C@H](O)[C@H]1[C@H](C)[C@H]2N1C(=O)[C@H]2[C@H](SC3CCN[C@@H]3/C=C/CNS(C)(=O)=O)C(=O)O,-1.51,
NCCOc1ccc(CC(NCCCc2ccc(C)c(C)c2)=O)cc1OC.Cl,3.12,
COC1=CC=C(C=C1OC)C2=CC(=O)C3=C(OC)C=C(OCC(O)=O)C=C3O2,0.85,
CN1N=NN=C1C1=NC=C(C=C1)C1=CC(F)=C(N2CC(COC(C)=O)OC2=O)C=C1,1.0,
CCOC1=C(NC(=O)N2CCN(CC2)CC)C=C(S(=O)(=O)NCCC2CCCN2C)C=C1,1.32,
CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl  ,1.68,
C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O  ,3.83,
C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C  ,2.75,
CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC  ,2.67,
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O  ,2.6,
C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O  ,3.91,
OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,3.43,
CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O  ,1.22,
C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O  ,0.67,
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC,2.29,
CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C3=CC=C(C=C3)F  ,3.86,
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl  ,2.31,
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4  ,3.11,
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O  ,4.1,
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O  ,6.74,
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O  ,2.98,
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,3.31,
CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3,4.16,
C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1  ,0.37,
CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,1.54,
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,3.46,
COC(OC)[C@]1(C)O[C@@H]2c3cc(N)ccc3[C@H](CN(c4ccc(Cl)cc4)Cn5nnc(C)n5)[C@@H](O)[C@H]2O1,1.69,
CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,2.91,
CO/N=C\1/CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F,2.09,
C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,2.27,
C[C@@H](CC1=CC=CC=C1)NC,2.24,
CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.17,
COC(=O)C(C1CCCCN1)C2=CC=CC=C2,2.12,
CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,1.49,
CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,3.75,
CCCC1=CN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CCO)OCCC)CC,1.59,
CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,1.23,
COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,1.85,
C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,2.99,
CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,3.4,
CN1CCC[C@H]1C2=CN=CC=C2,1.02,
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,1.64,
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1.48,
C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl,5.49,
C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,7.02,
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,2.15,
CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O,0.91,
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,3.3,
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],3.61,
C1=CC=C(C=C1)CCN=C=S,3.22,
C(=C(Cl)Cl)(Cl)Cl,2.52,
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,2.64,
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,2.28,
CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,-0.33,
C1CC1C2=NC3=CC=CC=C3C(=C2/C=C/[C@H](C[C@H](CC(=O)O)O)O)C4=CC=C(C=C4)F,3.94,
CC(C)C1=C(C(=CC=C1)C(C)C)O,4.15,
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,2.5,
COC1=CC(=CC(=C1)/C=C/C2=CC=C(C=C2)O)OC,3.97,
CCO[C@@H](CC1=CC=C(C=C1)OCCN2C3=CC=CC=C3OC4=CC=CC=C42)C(=O)O,4.62,
CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,0.79,
C=CCSC[C@@H](C(=O)O)N,0.43,
C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)N,-0.51,
CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,0.47,
CC(=O)/C=C/C1=CC=CS1,2.77,
CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,1.01,
CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,6.74,
CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,4.11,
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,1.02,
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,2.33,
CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C,1.82,
CCCC(CCC)C(=O)O,2.61,47.86298719053861
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,4.55,
CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,2.18,
CCN1C2=CC(=NC=C2C=C(C1=O)C3=CC(=C(C=C3Br)F)NC(=O)NC4=CC=CC=C4)NC,3.7,
CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4,-2.31,
CC1=CC(=NN1)NC2=NC(=NC(=C2)C)C3CCC(CC3)(C(=O)NC(C)C4=CN=C(C=C4)N5C=C(C=N5)F)OC,3.87,8.81
CCN1C2=C3C=C(NC3=NC=C2CN(C1=O)C4=C(C(=CC(=C4F)OC)OC)F)CN5CCOCC5,2.2,11.0
C1CN(CCC1CC(=O)N2CCC(CC2)C3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,4.7,
CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC=C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,5.87,
CC(C)OC1=C(C=C(C=C1)C2=NN(C3=NC=NC(=C23)N)C(C)C4=C(C(=O)C5=C(O4)C=CC(=C5)F)C6=CC(=CC=C6)F)F,4.84,2.22
CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,4.09,2.855
CC(C)OC(=O)C1=CN=C(N=C1C2=CN(C3=CC=CC=C32)C)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,4.65,15.0
CC(C)NC1=NC2=CC(=C(C=C2N1C3C(C(C(O3)CO)O)O)Cl)Cl,2.86,5.6
CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC(=NC=N3)N(C)C(=O)NC4=C(C(=CC(=C4Cl)OC)OC)Cl,4.7,1.7
CC1COC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,1.58,
CCCN=C1N(C(=O)C(=CC2=CC(=C(C=C2)OCC(CO)O)Cl)S1)C3=CC=CC=C3C,,9.93
C1CC2=CN=CN2C1C3=C(C=C(C=C3)C#N)F,,25.83
CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F,,24.5
C1CC1CNC(C2=CC(=C(C=C2)F)NC(=O)C3=CC(=NN3C4=CC=CC(=C4)CN)C(F)(F)F)C5=CC=CC(=C5)C#N,,1.7
CCOC1=CC=CC=C1OCC2CNCCO2,,50.4
CC(C)C(C)C1(CCC2(C3CCC4C5(COCC4(C3=CCC2(C1C(=O)O)C)CC(C5OCC(C)(C(C)(C)C)N)N6C(=NC=N6)C7=CC=NC=C7)C)C)C,,5.2
CCOC1=NC=C(C2=C1C(C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C,,19.1
CN1C(=CN=C1COC2=CC=C(C=C2)SC)[N+](=O)[O-],,57.2
C#CC#CC/C=C\CCCCC/C=C/C(=O)NCC(C)CC,,37.1535400195508
C#CC#CC/C=C\CCCCCC(C)=O,,32.17918199499838
C#C[C@@]1(O)CC[C@@H]2[C@H]3CCC4=Cc5oncc5C[C@@]4(C)[C@@H]3CC[C@]21C,,27.44978833757237
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,,14.454391050964656
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,33.884431218273896
C.CC(C)n1c(N)nc2ccc(/C(=C/C(N)=O)c3cccc(F)c3F)cc21,,5.011870028220744
C/C=C(/C)C(=O)O[C@@H]([C@@H](O)c1cc2ccc(=O)oc2cc1OC)C(C)(C)O,,14.127688154425806
C/C=C(/C)C(=O)O[C@H](c1cc2ccc(=O)oc2cc1OC)[C@H](O)C(C)(C)O,,15.403864865372446
C/C=C(\C)C(=O)O[C@H]1[C@@H](OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,,26.30268597537029
C/C=C/C#CCC/C=C\C=C\C(=O)NCC(C)C,,100.0
C/C=C/C/C=C/CCC(=O)[C@@H]1O[C@@H]1C(N)=O,,3.7808878903878935
C/C=C/c1cc(OC)c2c(c1)C(C)C(c1cc(OC)c(O)c(OC)c1)O2,,4.570879791180327
C/C=C\C#C/C=C/C(O)CCCCCC(C)=O,,48.98896904687232
C/C=C\C#CC/C=C\CCCCCC(C)=O,,10.0
C/C=C\C#CCC/C=C\C=C\C(=O)NCC(C)C,,138.03845824481442
C/C=C\C=C/CC/C=C/C=C/C(=O)NCC(C)C,,56.99996644367288
C/N=C(\NC#N)NCCSCc1[nH]cnc1C,,1.2589251219159128
C/N=C(\NC#N)NCCSCc1csc(N=C(N)N)n1,,2.1938720739768964
C=C(C)C(COc1c2occc2cc2ccc(=O)oc12)OC(C)(C)C(O)COc1c2occc2cc2ccc(=O)oc12,,33.11311214825908
C=C(C)CNc1ccc(C(C)C(=O)O)cc1,,45.70879791180327
C=C(c1ccccc1)C1OCC(N)CO1,,10.200000663210018
C=C(c1ccccc1)C1OCC(NC(=O)Cc2ccccc2)CO1,,8.915001077462758
C=C(c1ccccc1)[C@H]1OC[C@@H](N)[C@H](C)O1,,10.27999491889327
C=C(c1ccccc1)[C@H]1OC[C@@H](NC(=O)Cc2ccccc2)[C@H](C)O1,,8.905003612912306
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,,46.77352489872053
C=C1C[C@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OC4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)C2CC(O[C@H]2O[C@@H](CO)[C@H](O)C(O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)[C@@H]2O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H]1C3,,0.1098238337329806
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)CC[C@@H](N)C(=O)O,,1.5488169755407275
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@@H](C)N,,2.041737474542049
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)C(C)C,,4.466836950036728
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)CO,,4.677352489872053
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)[C@H](C)CC,,2.089297093010686
C=CC(N)=O,,26.95762948972653
C=CC1=C(C)/C(=C\C2=N/C(=C\c3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O,,2.349608474941657
C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)NCCS(=O)(=O)O)c(CCC(=O)NCCS(=O)(=O)O)c2C)NC1=O,,0.8720315541350592
C=CC1=C(C)/C(=C\c2[nH]c(Cc3[nH]c(/C=C4/NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O,,0.7387830112059346
C=CCC(N)c1ccccc1-c1noc2ccccc12,,13.489631932018668
C=CCNC(=O)C(=O)C(CCC)NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC(C(=O)C(C)C)C(C)C)C(C)(C)C)C2(C)C,,5.1286138399136485
C=CCNC(=O)C(=O)C(CCC)NC(=O)C1CC2CN1C(=O)C(C1CCCCC1)NC(=O)Cc1cccc(c1)OCCC(C)(C)O2,,9.33253871017602
C=CCO[C@H](CCC(C)(C)O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@@]4(C)C3CC[C@]12C,,20.41737474542049
C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C1CC1,,64.26200920428316
C=CCOc1ccccc1OC[C@@H](CNC(C)C)OC(=O)C1CC1,,28.510176110327787
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,,7.079456213736162
C=CCc1cc(OC)c(OC(C)C(O)c2cc(O)cc(OC)c2)c(OC)c1,,22.38720623083808
C=CCc1cc(OC)c(OC(C)C(O)c2cc(OC)c(OC)c(OC)c2)c(OC)c1,,28.183816333514457
C=CCc1cc(OC)c(OC(C)C(O)c2ccc(O)c(OC)c2)c(OC)c1,,30.90294009380277
C=CCc1cc(OC)c(OC(C)C(O)c2ccc(OC)c(OC)c2)c(OC)c1,,23.988334713712373
C=CCc1cc(OC)c(OC(C)C(OC(C)=O)c2ccc(OC)c(OC)c2)c(OC)c1,,25.703945990581317
C=CCc1cc(OC)c(OC(C)Cc2cc(OC)c(OC)c(OC)c2)c(OC)c1,,18.620871366628656
C=CCc1ccccc1OCC(CNC(C)C)OC(=O)C1CC1,,70.66712126264767
C=C[C@@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,,31.557638723774367
C=C[C@H]1CN2CC[C@H]1C[C@@H]2C(O)c1ccnc2ccc(OC)cc12,,20.89297093010686
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,,20.41737474542049
CC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O,,6.780387272672441
CC(=O)C(NC(=O)CN)c1ccc(O)cc1,,5.248072185670614
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,,66.06937522682428
CC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N(C)[C@H](Cc1ccccc1)C(=O)N(C)[C@@H](Cc1ccccc1)C(N)=O,,20.24042372311496
CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,,17.625246516902962
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,,11.74898095999973
CC(=O)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12,,2.3988334713712374
CC(=O)NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(C)CSC12)c1ccccc1,,0.234422827554136
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NCC(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(C)C(N)=O,,0.0317610901139291
CC(=O)NC(O)CNc1ccc(C(C)=O)cc1,,6.025598635633656
CC(=O)NCC(=O)NCCc1ccccc1,,21.888822524831937
CC(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C)C(N)=O,,0.2570394599058131
CC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(N)=O,,0.0977236770921542
CC(=O)NCC1CN(S(=O)(=O)c2ccc(C)cc2)C(=O)O1,,19.054615954605374
CC(=O)NCC1CN(c2cc(F)c(-c3ccncc3)c(F)c2)C(=O)O1,,51.28613839913648
CC(=O)NCC1CN(c2ccc(C(C)=O)cc2)C(=O)O1,,25.703945990581317
CC(=O)NCC1CN(c2ccc(C(C)=O)cc2)S(=O)N1C,,7.585777496981427
CC(=O)NCC1CN(c2ccc(C(C)O)cc2)C(=O)N1,,1.9952632338213456
CC(=O)NC[C@H]1CN(c2ccc(-c3ccc(C#N)nc3)c(F)c2)C(=O)O1,,41.84316240249067
CC(=O)NC[C@H]1CN(c2ccc(-c3nnc(CC/C(C)=N\O)s3)c(F)c2)C(=O)O1,,5.611694240816571
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,20.94641964343455
