SMILES,molecular_weight,logP,pKa,solubility,permeability,plasma_protein_binding,fu_in_vitro
C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,360.4 g/mol,,,,,92.5,
CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,307.395 g/mol,,,,,92.0,
C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,306.275 g/mol,,,,,11.5,
CC1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)C,233.2429 g/mol,,,,,38.0,
CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O,345.436 g/mol,,,,,95.0,
CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,365.839 g/mol,,,,,,
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,416.523 g/mol,,,,,92.0,
CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,368.51 g/mol,,,,,85.0,
CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O,554.5872 g/mol,,,,,92.5,
CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,267.31 g/mol,,,,,91.4,
CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,351.4079 g/mol,,,,,14.0,
C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,236.273 g/mol,,,,,74.0,
CC(C)(C)C(/C=C/C1=CC2=C(C=C1)OCO2)O,234.29 g/mol,,,,,99.0,
CN1CCC[C@H]1C2=CN=CC=C2,162.2346 g/mol,,,,,4.9,
CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,361.823 g/mol,,,,,95.0,
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CSC=C3)C(=O)O)C(=O)O)C,384.431 g/mol,,,,,45.0,
CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,300.7437 g/mol,,,,,85.0,
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.283 g/mol,,,,,99.0,
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,346.337 g/mol,2.2,,0.0055,,96.0,
CO[C@H]1CN(CC[C@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,465.95 g/mol,,,,,98.0,
CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,214.6469 g/mol,,,,,97.2,
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,248.7 g/mol,,,,,87.0,
C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)OC(=O)C)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O,827.999 g/mol,2.9,,,,,
CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,325.773 g/mol,2.5,5.5,,42.0,97.0,
CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=C(C=C2)O)C(=O)N[C@H]3[C@@H]4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O,645.6753 g/mol,,,,,90.0,
CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O,261.7068 g/mol,,,,,99.7,
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,361.368 g/mol,,,,,25.0,
C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,404.501 g/mol,1.97,10,5.5,,99.1,
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,343.216 g/mol,,,,,90.1,
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,446.908 g/mol,4.15,5.42,,3.6,90.0,0.1
C1=NNC2=C1C(=O)NC=N2,136.114 g/mol,,,,,2.0,
CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCC[C@H](C3)N,339.3969 g/mol,-0.9,8.5,19.2,1.059,20.0,
C=CC(CCC(=O)O)N,129.158 g/mol,,,,,0.0,
