SMILES,molecular_weight,logP,pKa,solubility,permeability,plasma_protein_binding,fu_in_vitro
CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1OCCCCC(=O)NCCCNC(=O)CCOCC(COCCC(=O)NCCCNC(=O)CCCCO[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)NC(=O)C)(COCCC(=O)NCCCNC(=O)CCCCO[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)NC(=O)C)NC(=O)CCCCCCCCCCC(=O)N4C[C@@H](C[C@H]4COP(=O)(O)O)O)CO)O)O,17284.72 g/mol,-8,,,,87.4,
C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)CSC4=NNN=C4,462.5092 g/mol,,,,,,
C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,285.30 g/mol,,,,,,
COC(=O)[C@@H]([C@H]1CCCCN1)C2=CC=CC=C2,233.3091 g/mol,1.8,,,,47.0,
CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,319.229 g/mol,,,,,86.0,
CC(C)NC1=NC2=CC(=C(C=C2N1[C@@H]3[C@H]([C@H]([C@@H](O3)CO)O)O)Cl)Cl,376.24 g/mol,2.86,5.2,,5.6,98.0,0.73
CC1=C[C@@H]2CN([C@@H]1C(=O)N)C(=O)N2OS(=O)(=O)O,277.2559 g/mol,,,,,10.0,
C1CC(=O)C(C(=O)C1)C(=O)C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-],329.229 g/mol,1.6,,0.0055,,95.0,
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,213.663 g/mol,,,,,31.0,
C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,201.252 g/mol,2.47,4.64,0.05,,,
C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,362.90 g/mol,,3.24,0.0018,26.68,95.5,
CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(C[C@@H]([C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)O)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C,801.0168 g/mol,,,,,12.2,
CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,532.56 g/mol,5.14,2.77,0.16,4.4,99.92,
CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]3C[C@H](CC[C@@H]3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,548.065 g/mol,,,,,55.0,
CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,430.5 g/mol,,,0.0055,,87.5,
C[C@H](C(C)C)[C@]1(CC[C@@]2([C@H]3CC[C@H]4[C@]5(COC[C@]4(C3=CC[C@]2([C@@H]1C(=O)O)C)C[C@H]([C@@H]5OC[C@@](C)(C(C)(C)C)N)N6C(=NC=N6)C7=CC=NC=C7)C)C)C,730.0443 g/mol,,,,8.45,99.7,
C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,341.405 g/mol,,,,,21.0,
CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,295.405 g/mol,,,,,17.5,
CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,720.955 g/mol,3.9,,0.0055,,98.5,
CC(C)[C@@H](C(=O)N1CCC[C@H]1C(=O)NC2=CC=C(C=C2)[C@@H]3CC[C@H](N3C4=CC=C(C=C4)C(C)(C)C)C5=CC=C(C=C5)NC(=O)[C@@H]6CCCN6C(=O)[C@H](C(C)C)NC(=O)OC)NC(=O)OC,894.1203 g/mol,,,0.0055,,99.9,
CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF,500.5749 g/mol,,,,,99.0,
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C,732.677 g/mol,,,,,7.0,
C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O,282.298 g/mol,,,,,99.0,
CC[C@@H](C(=O)N)N1CCCC1=O,170.2106 g/mol,,,,,10.0,
CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,441.2305 g/mol,,,,,97.0,
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,387.438 g/mol,,,,,92.0,
CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,299.8 g/mol,,,,,40.0,
CC1=C(C=CC=N1)NC(=O)C2=CC3=C(C=C2)[C@@]4(CC[C@@](C[C@H]4CC3)(C(F)(F)F)O)CC5=CC=CC=C5,494.5541 g/mol,,,,,99.993,
CC[C@@H](C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C,353.503 g/mol,,,,,80.0,
C1C(CN1C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4=C(C=C(C(=N4)N)F)F)F)O,440.76 g/mol,,,,,84.0,
CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O,470.61 g/mol,,,,,97.55,
CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,428.537 g/mol,4.1,,,,90.0,
C1CC2=C(C=CC(=C2)F)O[C@H]1[C@H](CNC[C@@H]([C@@H]3CCC4=C(O3)C=CC(=C4)F)O)O,405.4 g/mol,,,,,97.85,
C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt+2],373.2666 g/mol,,,,,0.0,
CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,266.303 g/mol,2.5,2.8,,,60.0,
C1=CN=CC=C1N,94.1164 g/mol,,,,,2.0,
CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,477.599 g/mol,,,,,10.0,
CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,339.48 g/mol,,,,,,
C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,425.918 g/mol,3.96,7.89,,6.19,92.0,
C1CN(C[C@@H]1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4,449.8432 g/mol,,3.93,1.24,22.1,97.3,
C1CCC(C1)(C#N)C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4,493.5853 g/mol,,,,,92.4,
CC(C)N(CCCCOCC(=O)NS(=O)(=O)C)C1=CN=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3,496.62 g/mol,,,,,99.0,
CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/[C@H]5CCCN5C,583.1 g/mol,,,,,93.3,
CC(C)(C)NCC(=O)NC1=CC(=C2C[C@H]3C[C@H]4[C@@H](C(=O)C(=C([C@]4(C(=O)C3=C(C2=C1O)O)O)O)C(=O)N)N(C)C)N(C)C,585.65 g/mol,0.8,,,,80.0,
CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@H]([C@H]2/C=C/C4=NC=C(C=C4)C5=CC(=CC=C5)F)[C@H](OC3=O)C,492.5877 g/mol,,,,,99.8,
CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,586.685 g/mol,,,,,49.0,
CCC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@@H]2[C@H]3CCC[C@H]3CN2C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C4CCCCC4)NC(=O)C5=NC=CN=C5,679.8577 g/mol,4,,0.0047,5.7,67.5,0.41
CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,421.3026 g/mol,2.7,3.8,0.0001,,99.0,
CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,297.42 g/mol,,,0.55,,96.0,
C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O,287.444 g/mol,,,,,92.6,
CC1=NN=C(N1C2C[C@H]3CC[C@@H](C2)N3CC[C@@H](C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,513.67 g/mol,5.1,7.3,,,76.0,
[Li],6.941 g/mol,,,,,0.0,
C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)[O-])[O-].[Pt+4],395.2728 g/mol,,,,,90.0,
CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,593.73 g/mol,,,,,95.0,
C=CC(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,440.50 g/mol,3.97,3.74,0.003,57.9,97.3,
CC1=N[C@@]2([C@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)C(=O)COC(=O)C,441.517 g/mol,,,,22.7,,
CN1N=C(N=N1)C2=NC=C(C=C2)C3=C(C=C(C=C3)N4C[C@@H](OC4=O)CO)F,370.3425 g/mol,,,,,80.0,
C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,315.715 g/mol,,,,,86.0,
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,835.93 g/mol,,,,,90.5,
CC1=C([C@@H](C(=C(N1)C)C(=O)O[C@H]2CCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,491.541 g/mol,,,,,95.65,
CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC(=NC=N3)OC4=CC=C(C=C4)OC,480.5426 g/mol,> 4.15,,,,99.99,
C1=CC(=C(C(=C1)Cl)COCCOCCCCCCNC[C@@H](C2=CC(=C(C=C2)O)CO)O)Cl,774.8 g/mol,,,,,94.0,
C[C@H]1CN(CC[C@@]1(C)C2=CC(=CC=C2)O)C[C@H](CC3=CC=CC=C3)C(=O)NCC(=O)O,460.6 g/mol,,,,,80.0,
CO/N=C(/C1=CC=CO1)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,424.388 g/mol,,,,,33.0,
CCOC1=CC(=O)NC=C1C2=CC(=C(C=C2)CC(=O)NC3=NOC(=C3)C(C)(C)C(F)(F)F)F,467.4 g/mol,,,,,97.3,
CC(C)OC1=C(C=C(C=C1)C2=NC(=NO2)C3=C4CC[C@@H](C4=CC=C3)NCCO)C#N,404.4676 g/mol,,,,,98.2,
CC1=CN(C(=O)C=C1)C2=CC=CC=C2,185.23 g/mol,,,,,58.0,
C1CC2=C(C=CC(=C2)F)OC1C(CNCC(C3CCC4=C(O3)C=CC(=C4)F)O)O,405.44 g/mol,,8.5,,,98.0,
CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,488.61 g/mol,,,,,94.0,
CCCC1=CN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CCO)OCCC)CC,531.6743 g/mol,2.2,,,,,
CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C,379.498 g/mol,,,,,27.5,
CC1=C(C(=CC=C1)C)NC(=O)NCCCNC(C)C,263.383 g/mol,,,,,14.25,
CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,276.2129 g/mol,,,,,95.0,
C(=O)(O)P(=O)(O)O,126.004 g/mol,,,,,15.5,
C/C=C\1/C(=O)N[C@H](C(=O)O[C@H]\2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C2)C(=O)N1)C(C)C)C(C)C,540.7024 g/mol,,,,,93.0,
CCCCCN=C(N)N/N=C/C1=CNC2=C1C=C(C=C2)OC,417.47 g/mol,,,,,98.0,
C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,398.3976 g/mol,2.5,,,,99.3,
CCOC1=CC=CC=C1OCCN[C@H](C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,408.516 g/mol,2.3,,,,96.5,
CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,408.879 g/mol,,8.6,0.55,,93.0,
C[C@@H](C1=NC(=CS1)C2=CC=C(C=C2)C#N)[C@](CN3C=NC=N3)(C4=C(C=CC(=C4)F)F)O,437.4723 g/mol,3.5,,,,99.0,
CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,441.4758 g/mol,2.96,3.26,0.02,3.84,89.0,
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,265.336 g/mol,,,,,70.0,
CC12CC3CC(C1)(CC(C3)(C2)N)C,179.305 g/mol,,,,,45.0,
CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,586.2 g/mol,7.7,4.3,,,99.0,
CCCC[C@@H](C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)CC2=CN=CN2)CC3=CC=CC=C3)CCCN=C(N)N)CC4=CNC5=CC=CC=C54)C(=O)O)NC(=O)C,1025.1752 g/mol,,,,,21.0,
CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,348.483 g/mol,,,,,99.0,
C[C@@H]1CN(C[C@@H](N1)C)C(=O)C2=CC=C(C=C2)NC(=O)C3=NN=C(C(=C3)O[C@H](C)C4=C(C=CC(=C4Cl)F)Cl)N,561.4 g/mol,,,,,93.4,
CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O)C,1109.2978 g/mol,,,,,98.45,
CCCOC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OC3CCN(CC3)C,367.4861 g/mol,,,,,92.5,
C1=CC=C(C(=C1)[C@@H](COC(=O)N)O)Cl,215.635 g/mol,,,,,44.0,
CC[C@@H]1CN2CCC3=C([C@@H]2C[C@@H]1/C(=C\OC)/C(=O)OC)NC4=C3C(=CC=C4)OC,398.5 g/mol,,,,,,0.039
C1CN(CCC1(C(=O)N[C@@H](CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,428.9 g/mol,2.5241,6.15,,10.3,77.7,0.622
C1=CC(=CC=C1C2=CN=C(C=C2)C([C@](CN3C=NN=N3)(C4=C(C=C(C=C4)F)F)O)(F)F)OCC(F)(F)F,527.3984 g/mol,,,,,99.5,
CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,375.4 g/mol,,,,,20.0,
COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,324.422 g/mol,,,,,87.0,
C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,434.523 g/mol,,,,5.7,98.4,
C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,519.445 g/mol,,,,,0.7,
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=S)(O)O[C@H]3C[C@@H](O[C@@H]3COP(=S)(O)O[C@H]4C[C@@H](O[C@@H]4COP(=S)(O)O[C@@H]5[C@H](O[C@H]([C@@H]5OCCOC)N6C=NC7=C6N=C(NC7=O)N)COP(=S)(O)O[C@@H]8[C@H](O[C@H]([C@@H]8OCCOC)N9C=C(C(=O)NC9=O)C)COP(=S)(O)O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=O)NC1=O)C)COP(=O)(O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=S)(O)O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=O)NC1=O)C)CO)S)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)OP(=S)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C(N=CN=C21)N)OP(=S)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=C(C(=NC1=O)N)C)OP(=S)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C(N=CN=C21)N)OP(=S)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=C(C(=O)NC1=O)C)OP(=S)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C1N=C(NC2=O)N)OP(=S)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C(N=CN=C21)N)OP(=S)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C(N=CN=C21)N)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)O,7183.08 g/mol,,,,,94.0,
C=C1[C@H](C[C@@H]([C@H]1CO)O)N2C=NC3=C2N=C(NC3=O)N,295.3 g/mol,,,,,13.0,
CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,558.6 g/mol,1.42,4.6,0.27,,98.0,
CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)O,317.4 g/mol,3.2,,,,98.0,
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,448.38 g/mol,,7.6,0.0055,36.5,99.0,
C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O,453.454 g/mol,,,,,67.0,
CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)Cl,436.9009 g/mol,5,,,,99.8,
CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3,560.6758 g/mol,2.33,4.75,0.93,,99.06,0.985
CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,270.209 g/mol,,,,,99.4,
CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,471.5 g/mol,,4,,,35.0,
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,807.885 g/mol,,,,,94.0,
C[C@H](CCC1=CC=CC=C1)NC[C@@H](C2=CC(=C(C=C2)O)C(=O)N)O,328.41 g/mol,,,,,50.0,
CC(CC1=CC=CC=C1OC)NC,,2.6,10.45,,,,
CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2/C=C/C(=O)OC(C)(C)C)C(=O)OCC)C)C,455.548 g/mol,4.5,,,,92.5,
CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,477.045 g/mol,5.5,9.41,,,,
CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,246.35 g/mol,,,,,12.9,
CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,284.425 g/mol,,,,,91.0,
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,296.408 g/mol,,10.33,0.00677,,97.0,
C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,209.251 g/mol,,,,,0.0,
C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,314.727 g/mol,,,,,97.5,
CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,575.683 g/mol,,,0.0055,,99.0,
CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,261.363 g/mol,,,,,95.0,
C[C@H]1CC[C@H](CN1C(=O)C=C)NC2=NC=NC3=C2C=CN3,285.34 g/mol,,,31.85,,14.0,0.86
CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F,495.635 g/mol,,,,,99.6,
CN1C[C@@H](C[C@]2([C@H]1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br,484.391 g/mol,3.3,,,,,
C1=CC(=C(C=C1[C@H]([C@@H](C(=O)O)N)O)O)O,213.19 g/mol,,,,,75.0,
CC1=CN=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=CC=NC=C3)OC)OC4=CC=CC=C4OC,479.5149 g/mol,,,,,99.98,
C[C@@H]1CN(CC[C@@]1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F,420.525 g/mol,,,,,55.0,
CN(C)C/C=C(/C1=CC=C(C=C1)Br)\C2=CN=CC=C2,,,,,,66.7,
CC1=C(C(=CC=C1)[C@H](C)C2=CN=CN2)C,200.28 g/mol,,,,,94.0,
CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,464.829 g/mol,,,,,99.0,
CC1=NC2=C(N1)CCN(C3=CC=CC=C32)C(=O)C4=CC=C(C=C4)NC(=O)C5=CC=CC=C5C6=CC=CC=C6,498.583 g/mol,,,,,99.0,
CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,628.809 g/mol,5.9,,,,98.5,
C#CCN[C@@H]1CCC2=CC=CC=C12,171.24 g/mol,,,,,91.0,
CN1CCCCC1CCC2=CC=CC=C2NC(=O)C3=CC=C(C=C3)OC,352.4752 g/mol,,,,,70.0,
CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,596 g/mol,,4.4,0.6,,95.0,
CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,344.4086 g/mol,,,,,62.5,
CC1=CC=C(C=C1)O,,,,,,93.5,
CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,294.3 g/mol,,,0.055,,,
CC(C)C(=O)NC1=NC(=CS1)C2=NC3=C(C=CC(=C3Br)OC)C(=C2)O[C@@H]4C[C@H](N(C4)C(=O)[C@H](C(C)(C)C)NC(=O)OC5CCCC5)C(=O)N[C@@]6(C[C@H]6C=C)C(=O)O,869.8 g/mol,,,,,99.6,
CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,427.54 g/mol,,7.2,,,62.0,
CC[C@H](C)[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@@H](CC7=CC=CC=C7)C(=O)NCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CC8=CN=CN8)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC9=CC=C(C=C9)O)NNC(=O)C,4492 g/mol,,,,,92.0,
CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,470.014 g/mol,4.3,,0.55,,99.0,
