feature,mean,std
h bond acceptor count,5.141750227894257,3.982114349413313
h bond donor count,2.6946216955332725,2.8306346850975954
rotatable bond count,5.699635369188696,6.4011320429320335
number of rings,2.4175022789425706,1.6789200153418449
physiological charge,-0.21103008204193255,1.1838118218514353
molecular weight,349.74944384685506,212.04803775855783
refractivity,90.4327028258888,53.02312868284877
monoisotopic weight,349.4220296238368,211.91300836543238
polar surface area (psa),100.15712397447584,86.43755948919379
