feature,mean,std
h bond acceptor count,5.135904499540863,3.988371491121135
h bond donor count,2.686868686868687,2.5939795003707715
rotatable bond count,5.586776859504132,5.6269782587188395
number of rings,2.4100091827364554,1.6142540596063564
physiological charge,-0.23186409550045914,1.2408431039140804
molecular weight,345.9886639577594,191.21659498547396
refractivity,89.31517447199266,47.19065789779465
monoisotopic weight,345.65987041201885,191.08733166087538
polar surface area (psa),100.38474747474747,80.432268839681
