feature,mean,std
h bond acceptor count,5.25103638876094,4.279421618190109
h bond donor count,2.8245048364808842,3.2088684959476534
rotatable bond count,5.742975587286964,6.250772500746269
number of rings,2.4730538922155687,1.7457220460517904
physiological charge,-0.18056195301704284,1.2449380852624814
molecular weight,355.4858366190696,225.15304775102035
refractivity,92.44576232151083,57.05324497535734
monoisotopic weight,355.1579191369028,224.98551220383393
polar surface area (psa),103.64837862736067,94.02219107434495
