feature,mean,std
h bond acceptor count,5.155111111111111,3.924298456233693
h bond donor count,2.6293333333333333,2.496316895663474
rotatable bond count,5.636,5.892503923630052
number of rings,2.437777777777778,1.6439101529219586
physiological charge,-0.1991111111111111,1.1438932961300101
molecular weight,347.5713912,190.23026767848688
refractivity,90.12124888888889,47.102149812261146
monoisotopic weight,347.2312474109862,190.0358778076948
polar surface area (psa),99.03951111111112,77.28616710522593
