SMILES,value
NCCOc1ccc(CC(NCCCc2ccc(C)c(C)c2)=O)cc1OC.Cl,3.12
COC1=CC=C(C=C1OC)C2=CC(=O)C3=C(OC)C=C(OCC(O)=O)C=C3O2,0.85
CN1N=NN=C1C1=NC=C(C=C1)C1=CC(F)=C(N2CC(COC(C)=O)OC2=O)C=C1,1.0
CCOC1=C(NC(=O)N2CCN(CC2)CC)C=C(S(=O)(=O)NCCC2CCCN2C)C=C1,1.32
CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl  ,1.68
C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)O  ,3.83
C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C  ,2.75
CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC  ,2.67
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O  ,2.6
C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O  ,3.91
OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,3.43
CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O  ,1.22
C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O  ,0.67
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC,2.29
CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C3=CC=C(C=C3)F  ,3.86
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl  ,2.31
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4  ,3.11
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O  ,4.1
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O  ,6.74
C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O  ,2.98
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,3.31
CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3,4.16
C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1  ,0.37
CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,1.54
CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,3.46
COC(OC)[C@]1(C)O[C@@H]2c3cc(N)ccc3[C@H](CN(c4ccc(Cl)cc4)Cn5nnc(C)n5)[C@@H](O)[C@H]2O1,1.69
CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,2.91
CO/N=C\1/CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F,2.09
C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,2.27
C[C@@H](CC1=CC=CC=C1)NC,2.24
CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,0.17
COC(=O)C(C1CCCCN1)C2=CC=CC=C2,2.12
CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,1.49
CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,3.75
CCCC1=CN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CCO)OCCC)CC,1.59
CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,1.23
COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O,1.85
C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,2.99
CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,3.4
CN1CCC[C@H]1C2=CN=CC=C2,1.02
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,1.64
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1.48
C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl,5.49
C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,7.02
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,2.15
CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O,0.91
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,3.3
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],3.61
C1=CC=C(C=C1)CCN=C=S,3.22
C(=C(Cl)Cl)(Cl)Cl,2.52
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,2.64
