feature,mean,std
h bond acceptor count,5.137309292649099,3.7040255584551267
h bond donor count,2.6652797041146554,2.474445013489318
rotatable bond count,5.653259361997226,5.479756054850831
number of rings,2.4207119741100325,1.686748716314567
physiological charge,-0.24826629680998613,1.2138731290610807
molecular weight,348.0018175219602,188.7406647904223
refractivity,89.80205732778549,47.9977301871635
monoisotopic weight,347.6636143223264,188.6219349381489
polar surface area (psa),99.61747110494683,74.89210303111533
