feature,mean,std
h bond acceptor count,5.236298292902067,4.042566050015035
h bond donor count,2.742138364779874,2.923902842064925
rotatable bond count,5.603324348607368,5.478404401505616
number of rings,2.5215633423180592,1.7250911012672174
physiological charge,-0.18957771787960467,1.1696534016641988
molecular weight,354.444385669362,204.68810442033794
refractivity,92.17769991015274,52.26513611686045
monoisotopic weight,354.1015685799174,204.5336204904956
polar surface area (psa),102.21131176999101,84.56409503326657
